,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
bg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.0,0.7235876629381637,0.029177816966539337,0.006721010247998284,0.07712513411189223,0.02780895065914886,0.03206353512806521,0.009791710342955298,0.01562480731048408,0.007436273723932046,0.028499549877291804,0.0058577612253196045,0.0,0.012788417664539854,0.010087681436445128,0.002219783201173745,0.0006412707025613042,0.0015661803697170312,0.00027130683569901327,0.00035763173796688114,9.865703116327755e-05,0.0006782670892475332,0.0,0.0013442020495996567,0.00035763173796688114,0.0004192923824439296,0.0004562887691301587,0.0,0.0002466425779081939,3.699638668622908e-05,0.0006536028314567138,0.00046862089802556845,0.0007769241204108109,0.0003946281246531102,0.0013072056629134276,6.166064447704847e-05,0.0,0.00016031767564032604,0.0,0.0,0.0,0.00014798554674491632,0.00011098916005868726,0.00028363896459442296,0.00014798554674491632,0.0,0.0,0.00012332128895409694,0.0,9.865703116327755e-05,0.0
has,0.0,0.04424866855804981,0.7429943755908758,0.07637748245481152,0.014459210591803679,0.008934348713352015,0.012169628191724614,0.010502214922101814,0.010203573739482804,0.014359663530930676,0.04850430541037069,0.0005226220695832655,7.466029565475222e-05,0.003533920660991605,0.00032352794783725963,0.0007963764869840236,0.0001244338260912537,0.0003981882434920118,0.0001990941217460059,0.002861978000098835,0.0,0.001244338260912537,0.0,0.0007963764869840236,9.954706087300296e-05,0.00022398088696425666,0.0002986411826190089,0.0,4.977353043650148e-05,0.0007963764869840236,0.0018913941565870563,0.0001990941217460059,0.00022398088696425666,0.0005226220695832655,0.0014932059130950443,0.0,0.0,0.0,2.488676521825074e-05,0.0,0.0,0.0,7.466029565475222e-05,7.466029565475222e-05,0.0,0.0,0.0,0.0003981882434920118,0.0,0.0,0.0
wearing,0.0,0.07861990950223904,0.025958561562269007,0.7707489878540217,0.0008037628006665863,0.00702548225767831,0.02030245296498562,0.009704691593233597,0.014854727316023204,0.006698023338888218,0.04301619433197101,0.0006251488449629004,0.00035722791140737167,0.0026494403429380064,0.0002679209335555287,0.00032745891879009076,0.00044653488925921455,0.00044653488925921455,0.0005656108597283385,0.0014884496308640485,0.0,0.00398904501071565,0.0,2.976899261728097e-05,0.0004167658966419336,0.002024291497975106,5.953798523456194e-05,0.0,5.953798523456194e-05,2.976899261728097e-05,0.007233865205999276,2.976899261728097e-05,0.0002083829483209668,0.00017861395570368583,0.0,0.0,0.0,5.953798523456194e-05,0.0,0.0,0.0,0.0,0.0005060728744937765,0.0,0.00017861395570368583,0.0,0.0,8.930697785184292e-05,0.0,0.0,0.0
of,0.0,0.2858053819664644,0.027760064617596492,0.004506227947113673,0.5686349530244574,0.015091612464390131,0.01938528248947014,0.007652085193211898,0.01181822046507171,0.004803809037960803,0.04102367895249712,0.00029758109084712935,0.0,0.0043786931938934745,4.2511584406732764e-05,0.0016579517918625776,4.2511584406732764e-05,0.00017004633762693106,0.00021255792203366382,4.2511584406732764e-05,0.0,0.0008927432725413881,0.0,0.0028057645708443628,0.00021255792203366382,8.502316881346553e-05,0.0002550695064403966,0.0,0.00029758109084712935,4.2511584406732764e-05,0.0003400926752538621,8.502316881346553e-05,0.0,8.502316881346553e-05,0.0005951621816942587,8.502316881346553e-05,0.0,4.2511584406732764e-05,0.0,0.0,0.0,0.0,0.0,0.0005951621816942587,4.2511584406732764e-05,0.0,8.502316881346553e-05,0.0001275347532201983,0.0,0.0,0.0
in,0.0,0.2549830547416537,0.030271698546711315,0.14917571371121305,0.01223505083576757,0.35395485093896606,0.06249640990288787,0.009592739387667531,0.04371302200008977,0.009420414728008834,0.031018438738565673,0.008845999195813173,0.0,0.006376012407371833,0.005284622896200078,0.005801596875176171,0.002872077660978303,0.0013211557240500194,5.7441553219566065e-05,0.00022976621287826426,0.0,0.0014360388304891516,0.0,0.000976506404732623,0.00034464931931739635,0.0010913895111717552,0.0006892986386347927,0.0,0.00011488310643913213,0.0004020908725369624,0.0016658050433674158,0.00017232465965869817,0.0,0.0013785972772695854,0.001780688149806548,5.7441553219566065e-05,0.0,0.00011488310643913213,0.0,0.00011488310643913213,0.0,0.00022976621287826426,0.00034464931931739635,0.0002872077660978303,0.0002872077660978303,0.0004595324257565285,0.0,0.00034464931931739635,0.0,5.7441553219566065e-05,0.0
near,0.0,0.22458365270697192,0.02494599679463107,0.006062295310427104,0.010034143962086241,0.04557173716114168,0.3759319908017727,0.012821406173776863,0.16605114626146883,0.017559751933650922,0.04083339140126762,0.0017420388823066394,0.00013936311058453113,0.013100132394945927,0.006131976865719369,0.018117204375989047,0.0024388544352292947,0.008849557522117727,0.000975541774091718,0.0014633126611375768,6.968155529226556e-05,0.0027872622116906225,0.0,0.00724688175039562,0.0021601282140602325,0.0012542679952607801,0.000975541774091718,0.0,0.00013936311058453113,0.002090446658767967,0.0011845864399685146,0.0006271339976303901,0.000487770887045859,0.0008361786635071869,0.0006271339976303901,0.0006968155529226556,0.0,0.0,0.0,0.0,0.0,6.968155529226556e-05,6.968155529226556e-05,0.0003484077764613278,0.0005574524423381245,0.0,0.0,0.00027872622116906226,0.00013936311058453113,0.0,0.0
with,0.0,0.11114596403166964,0.38498536177291404,0.11219155165191114,0.03251777498951012,0.021120869928877958,0.06304893350056143,0.08479715600158427,0.024884985361747294,0.06074864073603016,0.04035968214132124,0.0008364700961931864,0.0,0.0216436637389987,0.0048097030531108215,0.0019866164784588178,0.0013592639063139279,0.0001045587620241483,0.0,0.008992053534076753,0.0,0.0030322040987003007,0.0,0.0049142618151349704,0.0006273525721448898,0.0023002927645312627,0.0001045587620241483,0.0,0.0001045587620241483,0.0023002927645312627,0.0032413216227485967,0.0002091175240482966,0.0023002927645312627,0.0007319113341690381,0.0033458803847727456,0.0,0.0,0.0001045587620241483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011501463822656314,0.0,0.0,0.0
behind,0.0,0.06512077294679698,0.024541062801908656,0.007342995169075031,0.009468599033807276,0.028599033816397487,0.14444444444430488,0.006956521739123713,0.6015458937192255,0.011207729468588203,0.051304347826037384,0.0012560386473417814,9.661835748782935e-05,0.011884057971003009,0.004734299516903638,0.010628019323661229,0.0006763285024148054,0.0039613526570010035,0.0001932367149756587,0.00048309178743914677,0.0,0.0031884057970983683,0.0,0.0020289855072444163,0.0013526570048296108,0.0021256038647322457,0.0003864734299513174,0.0,0.0,0.0012560386473417814,0.0008695652173904641,0.0005797101449269761,0.0001932367149756587,0.0010628019323661228,0.0008695652173904641,0.0,0.0,0.0,0.0,0.0,0.0,9.661835748782935e-05,0.0001932367149756587,0.0,0.0006763285024148054,0.00028985507246348806,0.0,0.0001932367149756587,9.661835748782935e-05,9.661835748782935e-05,0.0
holding,0.0,0.11463870133585026,0.03950581812952233,0.05703203562698315,0.013216491883331107,0.012210889240034176,0.04008044821140629,0.026002011205249243,0.0251400660824233,0.5150122108885002,0.05617009050415721,0.0007182876023549515,0.0,0.022266915673003495,0.00459704065507169,0.0008619451228259417,0.0008619451228259417,0.002011205286593864,0.0001436575204709903,0.02916247665561103,0.0,0.0050280132164846605,0.0,0.001005602643296932,0.002298520327535845,0.002011205286593864,0.0001436575204709903,0.0,0.0,0.01838816262028676,0.00488435569601367,0.00043097256141297086,0.00488435569601367,0.0008619451228259417,0.0001436575204709903,0.0,0.0,0.0,0.0,0.0,0.0,0.0001436575204709903,0.0001436575204709903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
above,0.0,0.5833671399582487,0.036308316429946634,0.002231237322510687,0.017241379310309855,0.04137931034474365,0.06004056795119667,0.013995943204839765,0.044827586206805624,0.004462474645021374,0.1373225152127032,0.001217038539551284,0.00020283975659188063,0.02738336713990389,0.005273833671388897,0.002231237322510687,0.00020283975659188063,0.000608519269775642,0.0010141987829594033,0.00020283975659188063,0.0,0.013387423935064122,0.0,0.001217038539551284,0.0,0.00040567951318376126,0.00020283975659188063,0.0,0.00040567951318376126,0.00020283975659188063,0.00040567951318376126,0.0020283975659188065,0.0,0.00040567951318376126,0.0010141987829594033,0.0,0.0,0.00040567951318376126,0.0,0.0,0.0,0.0,0.00020283975659188063,0.0,0.00020283975659188063,0.0,0.0,0.0,0.0,0.0,0.0
