,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
bg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.0,0.868325791855103,0.0038983640793591023,0.002865761689290769,0.0752291449123941,0.013493444715162606,0.009386239702980696,0.0006265227984684271,0.0014502842557139518,0.003782341338901986,0.0003480682213713485,0.006706114398421313,0.0,0.0012878524190739892,0.008365239586958074,0.0001624318366399626,0.0002900568511427903,0.00031326139923421357,0.00010442046641140453,6.961364427426969e-05,0.0014154774335768169,0.00027845457709707876,0.0,5.8011370228558074e-05,0.00017403411068567424,3.4806822137134845e-05,0.0004872955099198878,8.12159183199813e-05,5.8011370228558074e-05,3.4806822137134845e-05,1.1602274045711613e-05,1.1602274045711613e-05,0.0005569091541941575,0.0,2.3204548091423226e-05,2.3204548091423226e-05,0.0,2.3204548091423226e-05,0.0,0.0,0.0,0.0,2.3204548091423226e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has,0.0,0.011322490948006298,0.8652703594789124,0.0814979295444835,0.003880853787832547,0.0023405149132804536,0.003080677749104187,0.00906199363859868,0.0016003520774567203,0.01566344595810765,6.0013202904627016e-05,8.001760387283603e-05,0.0,0.0016803696813295565,0.00016003520774567206,0.00010002200484104502,2.0004400968209007e-05,2.0004400968209007e-05,0.0,0.0020804577006937365,0.0,4.0008801936418015e-05,0.0,0.00026005721258671706,0.00012002640580925403,2.0004400968209007e-05,0.0,0.0,2.0004400968209007e-05,0.00024005281161850806,4.0008801936418015e-05,0.0,0.00046010122226880707,0.0,0.0008801936426011962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wearing,0.0,0.008136647820752001,0.0049657483023707065,0.9816626282566091,0.00011965658559929415,0.0007478536599955885,0.0009572526847943532,0.00035896975679788244,0.00029914146399823534,0.0015854497591906473,0.0,2.9914146399823537e-05,0.0,0.00020939902479876475,2.9914146399823537e-05,0.0,0.0,0.0,0.0,0.0008076819527952355,0.0,0.0,0.0,0.0,0.0,2.9914146399823537e-05,0.0,0.0,0.0,0.0,5.9828292799647074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.0,0.2701716238253203,0.005203075250444512,0.00011648675933830997,0.7048225518363342,0.0024462219461045096,0.005591364448238879,0.004271181175738032,0.0019802749087512697,0.0016308146307363396,3.882891977943666e-05,3.882891977943666e-05,0.0,0.0019414459889718328,7.765783955887331e-05,0.0002718024384560566,0.0,0.0,3.882891977943666e-05,0.0,0.0,0.0001941445988971833,0.0,0.0008542362351476064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002718024384560566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.882891977943666e-05,0.0,0.0,0.0,0.0,0.0,0.0
in,0.0,0.2481053981577194,0.007636702809835818,0.18841086627014783,0.0044304535385307035,0.4815786405500282,0.02868135711785666,0.0016905677975972422,0.011484201935401955,0.002040340445375982,0.00034977264777873976,0.013291360615592112,0.0,0.0018654541214866121,0.003206249271305114,0.0008161361781503928,0.0022152267692653518,0.0005829544129645663,0.0,0.0,0.0009910225020397627,0.00029147720648228315,0.0,5.829544129645663e-05,0.0,0.00023318176518582651,0.00017488632388936988,0.0,0.00011659088259291326,0.00017488632388936988,0.00011659088259291326,0.0,0.0,0.0,0.0013407951498185025,0.0,0.0,0.0,0.0,0.00011659088259291326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
near,0.0,0.2259847148734709,0.012698412698405232,0.000646678424455822,0.0069958847736584385,0.021987066431497948,0.5594356261019638,0.008171663727214479,0.1055849500293324,0.011992945326271608,0.00205761316872307,0.0015285126396228517,0.0,0.009523809523803925,0.001881246325689664,0.009229864785414914,0.000117577895355604,0.01287477954143864,0.00017636684303340604,0.000235155790711208,0.00017636684303340604,0.0014109347442672483,0.0,0.00176366843033406,0.001293356848911644,0.0015285126396228517,0.000529100529100218,5.8788947677802e-05,0.0,0.001058201058200436,5.8788947677802e-05,0.0,0.000411522633744614,0.000117577895355604,0.000235155790711208,0.000117577895355604,0.0,0.0,0.0,0.0,0.0,0.0,5.8788947677802e-05,0.0,0.0,0.0,5.8788947677802e-05,0.0,0.0,0.0,0.0
with,0.0,0.04940103890591603,0.46517544789519216,0.13039330011647365,0.0206721085550507,0.009646983992356993,0.04516060638180306,0.1460829004556916,0.010707092123385236,0.0826884342202028,0.00021202162620564822,0.00042404325241129643,0.0,0.012933319198544542,0.002226227075159306,0.0010601081310282411,0.00021202162620564822,0.00021202162620564822,0.00010601081310282411,0.009752994805459818,0.0,0.0013781405703367133,0.0,0.0011661189441310653,0.0011661189441310653,0.0005300540655141206,0.00021202162620564822,0.0,0.0,0.0010601081310282411,0.0006360648786169446,0.0,0.001908194635850834,0.0,0.004558464963421436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003180324393084723,0.0,0.0,0.0
behind,0.0,0.061831789023465936,0.012205987170338375,0.0005345687811827026,0.007127583749102702,0.016482537419799995,0.14397719173187457,0.005256593014963242,0.7184604419095523,0.008196721311468107,0.0029401282965048642,0.00071275837491027,0.0,0.00400926585887027,0.0023164647184583777,0.0016928011404118918,0.00044547398431891885,0.006236635780464863,8.909479686378375e-05,0.0001781895937275675,0.0,0.0008909479686378377,0.0,0.00044547398431891885,0.0005345687811827026,0.0037419814682789184,0.0,0.0,0.0,0.00044547398431891885,0.0,0.0,0.0,0.0,0.0011582323592291889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.909479686378375e-05,0.0,0.0,0.0,0.0,0.0,0.0
holding,0.0,0.04920744314259241,0.0359751895244163,0.0323914541694936,0.009235010337685411,0.0022053756030293516,0.013094417642986775,0.018883528600938823,0.0038594073053013654,0.7918676774627265,0.0,0.0005513439007573379,0.0,0.007718814610602731,0.0017918676774613482,0.00027567195037866895,0.0,0.00013783597518933447,0.0,0.02343211578218686,0.0,0.0,0.0,0.0005513439007573379,0.00013783597518933447,0.00041350792556800345,0.0,0.0,0.0,0.005375603032384044,0.0,0.0,0.0028945554789760243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
