,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
bg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on,0,0.495660177,0.002205614,0.001713714,0.103314768,0.02065978,0.00544263,0.00160264,0.002015201,0.003966932,0.0364323,0.020754986,0.000158677,0.004379493,0.035083544,0.002522969,0.031814792,0.007806922,0.013249552,0.001126609,0.011805589,0.002142143,0.013725584,0.002840323,0.001094873,0.000333222,0.015661446,0.021643579,0.008885927,0.00020628,0.001523302,0.013265419,0.002665778,0.001475699,0.001158344,0.005728249,0.001793053,0.010266419,0.008330556,0.012662446,0.01437616,0.005807588,0.001586773,0.001507434,0.001301154,0.020056806,0.016883261,0.002411894,0.000412561,0.00279272,0.005744117
has,0,0.001988862,0.740294352,0.077724741,0.00202864,0.001471758,0.000636436,0.10505171,0.001312649,0.012848051,0.000397772,0.000198886,0.006006364,0.001750199,0.001630867,0.00071599,0.001789976,0.000238663,0.00071599,0.004216388,0,0.000198886,0.000397772,0.001670644,0.001193317,0.000238663,0.000477327,0.000119332,0.000159109,0.000875099,0.001511535,0.000994431,0.001034208,0.000755768,0.004813047,0.000198886,3.98E-05,0.000318218,3.98E-05,0.000835322,0.000596659,0,0,0.000159109,0.000357995,0.000596659,0,0.006921241,0.000238663,0.01300716,0.001233095
wearing,0,0.001439349,0.004516577,0.892942228,0.000198531,0.003920985,0,0.004218781,4.96E-05,0.004218781,0,0.000198531,0.076930713,0.000347429,0.000347429,0,0.005062537,0,4.96E-05,0.001588247,0,9.93E-05,4.96E-05,4.96E-05,0.000248164,0.00054596,0,0,0,4.96E-05,0.000595593,4.96E-05,4.96E-05,0,0,0,0,0.000198531,0,0,0,0.000148898,0,0,4.96E-05,0,0,4.96E-05,0.000496327,0.000645225,0.000645225
of,0,0.161017384,0.001435824,0.000256397,0.70298959,0.002769089,0.002512692,0.012460899,0.001538383,0.001179427,0.00092303,5.13E-05,0,0.004102354,0.000615353,0.00087175,0.000307677,0,0.003743398,0.000410235,0,0.000358956,0.058253423,0.004922824,0.000461515,0.000358956,0.000307677,0.000205118,0.000102559,5.13E-05,0.000820471,0.000820471,0,0.001076868,0.000256397,0.000512794,0.004974104,0.000820471,0.002922927,0.009127737,0.001999897,0,5.13E-05,0.001076868,0.000769191,0.006512487,0.000769191,0.0017435,0.000564074,0.001128147,0.001846059
in,0,0.093033471,0.003250461,0.177369762,0.003953264,0.457260828,0.012650444,0.004480365,0.008960731,0.002108407,0.004743916,0.02038127,0.009487833,0.00289906,0.004568216,0.005446719,0.033031714,0.004304665,0.001054204,0.000175701,0.006061671,0.00298691,0.000439252,0.002371958,0.001581305,0.001932707,0.007203725,0.014758851,0.004480365,0.002547659,0.001844856,0.006325222,0,0.002020557,0.012299042,0.004656066,0.000878503,0.007467276,0.000966353,0.007291575,0.000702802,0.025125187,0.000878503,0.003514012,0.001317755,0.012913995,0.000966353,0.001229904,0.001229904,0.002635509,0.012211192
near,0,0.111712199,0.002299161,0,0.009196646,0.028536651,0.231674331,0.014200703,0.121585069,0.007708953,0.010954828,0.004192589,0,0.024614552,0.008114688,0.100081147,0.011360563,0.033134974,0.005274547,0.00311063,0.001622938,0.005409792,0.000946714,0.017446578,0.02285637,0.0129835,0.007167974,0.006626995,0.002163917,0.00649175,0.015958886,0.005815526,0.000540979,0.010413849,0.004733568,0.056802813,0.000946714,0.002840141,0.001893427,0.013524479,0.000676224,0.000811469,0.00987287,0.010143359,0.002569651,0.005004057,0.002434406,0.007303219,0.002704896,0.004463078,0.029077631
with,0,0.011198208,0.232176185,0.128592758,0.009518477,0.006905562,0.014930944,0.309443822,0.006532288,0.073161627,0.000933184,0.000373274,0.011758119,0.016983949,0.010451661,0.004292647,0.004852557,0.001679731,0.001306458,0.025009332,0,0.001119821,0.00055991,0.011011571,0.010078387,0.00877193,0.000746547,0,0.00055991,0.004292647,0.01287794,0.00410601,0.005412467,0.000933184,0.013251213,0.000746547,0,0.001306458,0.000373274,0.003919373,0.000746547,0,0,0.000373274,0.001306458,0.000933184,0.000186637,0.010451661,0.002426278,0.025942516,0.007465472
behind,0,0.020184291,0.003071523,0,0.005484862,0.024133392,0.068451075,0.011627907,0.664765248,0.006581834,0.008995173,0.001535761,0,0.009433962,0.004607284,0.036200088,0.001755156,0.010750329,0.001535761,0.000438789,0,0.006801229,0.000658183,0.006801229,0.006581834,0.015357613,0.002413339,0.001096972,0.000438789,0.003071523,0.005704256,0.001316367,0.000438789,0.001316367,0.003071523,0.009653357,0.00197455,0.000658183,0.001096972,0.003071523,0,0.000438789,0.002632734,0.006801229,0.003729706,0.005704256,0,0.003729706,0.005265467,0.001755156,0.018867925
holding,0,0.006441915,0.010521795,0.012024909,0.006227185,0.001717844,0.001717844,0.032209577,0.002147305,0.660511059,0.000644192,0.001288383,0.001503114,0.010092334,0.007730298,0.001288383,0.007086107,0.000429461,0.001503114,0.137642259,0,0.000214731,0.001073653,0.007515568,0.014172214,0.002576766,0,0,0.000644192,0.015245866,0.003435688,0,0.030062272,0,0.000214731,0.000214731,0.000214731,0.000644192,0,0.000429461,0.000429461,0,0,0.000429461,0,0,0,0.001288383,0.006656646,0.001932575,0.009877604
