,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
bg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.0,0.8481617238696866,0.004093873470747197,0.002760984433759737,0.09006521635643833,0.015502768918294616,0.009679313244789883,0.0006029736119705174,0.001301153583725853,0.004125608924008803,0.0005395027054473049,0.006807254724614524,0.0,0.00128528585709505,0.009933196870882732,0.00015867726630803088,0.0006505767918629265,0.00042842861903168335,7.933863315401544e-05,3.173545326160617e-05,0.0018723917424347642,0.0002538836260928494,0.0,4.760317989240926e-05,3.173545326160617e-05,0.00015867726630803088,0.00041256089240088026,1.5867726630803086e-05,0.00011107408641562161,3.173545326160617e-05,1.5867726630803086e-05,1.5867726630803086e-05,0.0005395027054473049,6.347090652321235e-05,9.520635978481852e-05,1.5867726630803086e-05,0.0,4.760317989240926e-05,1.5867726630803086e-05,1.5867726630803086e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.173545326160617e-05,0.0,0.0,0.0,0.0
has,0.0,0.012450278440726947,0.8597852028636198,0.08516308671436548,0.0040175019888607725,0.0018695306284797655,0.002108194112966544,0.013484486873502989,0.0013922036595062084,0.015075576770081513,3.977724741446309e-05,7.955449482892618e-05,7.955449482892618e-05,0.000914876690532651,0.00031821797931570474,0.00015910898965785237,0.0,0.0,0.0,0.0014717581543351344,0.0,0.0,0.0,3.977724741446309e-05,0.0,0.0,0.0,0.0,0.0,0.00031821797931570474,0.0,0.0,0.00047732696897355713,0.0,0.0007557677008747988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wearing,0.0,0.006650784196939323,0.007246376811590606,0.9809410363306625,0.00019853087155042757,0.0013400833829653861,0.0005955926146512827,0.00039706174310085514,4.963271788760689e-05,0.0013400833829653861,0.0,9.926543577521379e-05,0.0,4.963271788760689e-05,0.00014889815366282068,0.0,9.926543577521379e-05,0.0,0.0,0.0007941234862017103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.963271788760689e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.0,0.27547305266382466,0.004871545048969349,0.0003589559509766889,0.7004768986202243,0.0017435003333153459,0.006409927696012302,0.005589456950922727,0.0011794266960662636,0.0009743090097938698,5.127942156809841e-05,5.127942156809841e-05,0.0,0.0016922209117472477,0.0003589559509766889,5.127942156809841e-05,0.0,0.0,0.0,0.0,0.0,0.00015383826470429524,0.0,0.0003076765294085905,0.0,5.127942156809841e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.127942156809841e-05,0.0,0.0,0.0,0.0,5.127942156809841e-05,0.0,0.0,0.0,0.0,5.127942156809841e-05,0.0,0.0,5.127942156809841e-05,0.0,0.0,0.0
in,0.0,0.2679434244045788,0.007818676974428692,0.18931740314487452,0.004128964244923017,0.4643767020992143,0.02899060001754459,0.0013177545462520269,0.01027848546076581,0.0021962575770867114,0.0,0.009751383642264999,0.0,0.0014056048493354953,0.0033383115171718007,8.785030308346846e-05,0.004392515154173423,0.00026355090925040536,0.0,0.0,0.00114205394008509,0.0009663533339181529,0.0,0.0,0.0,0.00017570060616693692,0.0006149521215842792,0.0,8.785030308346846e-05,0.00017570060616693692,0.0,0.0,0.0,8.785030308346846e-05,0.00114205394008509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
near,0.0,0.276981336218181,0.013253989721377802,0.0005409791723011348,0.007979442791441737,0.03015958885578826,0.48958615093252694,0.011495807411399113,0.10481471463334485,0.01027860427372156,0.002163916689204539,0.0002704895861505674,0.0,0.013253989721377802,0.0028401406545809573,0.013118744928302516,0.0001352447930752837,0.012577765756001382,0.00040573437922585107,0.0001352447930752837,0.0001352447930752837,0.0010819583446022695,0.0,0.0022991614822798225,0.0016229375169034043,0.0016229375169034043,0.00040573437922585107,0.0,0.0,0.0010819583446022695,0.0,0.0,0.0002704895861505674,0.0008114687584517021,0.0002704895861505674,0.0002704895861505674,0.0,0.0,0.0,0.0,0.0,0.0,0.0001352447930752837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.0,0.05543113101893351,0.4904815229554116,0.1468831653599349,0.021463232549418697,0.013251213139206323,0.04236655468450473,0.09518477043655248,0.008958566629322587,0.09107876073144629,0.0,0.0,0.0,0.01157148189620834,0.0037327360955510774,0.0005599104143326617,0.0001866368047775539,0.0001866368047775539,0.0001866368047775539,0.0072788353863246,0.0,0.0003732736095551078,0.0,0.0014930944382204312,0.0001866368047775539,0.0005599104143326617,0.0,0.0,0.0,0.0014930944382204312,0.0003732736095551078,0.0,0.004106009705106185,0.0,0.0026129152668857543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
behind,0.0,0.08468626590591337,0.012724879333012891,0.0006581834137765288,0.007459412022800659,0.024572180780990407,0.18692408951253417,0.006362439666506446,0.6388767003057506,0.008775778850353718,0.004387889425176859,0.0004387889425176859,0.0,0.00526546731021223,0.0019745502413295864,0.0037297060114003296,0.0,0.006143045195247602,0.0,0.0,0.0,0.0017551557700707435,0.0,0.00021939447125884294,0.0010969723562942147,0.003510311540141487,0.00021939447125884294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021939447125884294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holding,0.0,0.05776250805227021,0.028773888769532373,0.021687781833752015,0.010951256173478741,0.0010736525660273275,0.007086106935780361,0.025767661584655856,0.0038651492376983784,0.7942881683470168,0.0,0.00042946102641093096,0.0,0.006441915396163964,0.0010736525660273275,0.0,0.0,0.00021473051320546548,0.00021473051320546548,0.03220957698081982,0.0,0.0,0.0,0.00021473051320546548,0.0,0.00021473051320546548,0.0,0.0,0.00021473051320546548,0.004938801803725706,0.0,0.0,0.0023620356452601203,0.0,0.0,0.0,0.0,0.00021473051320546548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
above,0.0,0.7336683417054705,0.005025125628119661,0.0,0.009631490787229349,0.02638190954762822,0.04187604690099717,0.0025125628140598307,0.036013400334857566,0.004187604690099717,0.10427135678348294,0.0025125628140598307,0.0,0.005025125628119661,0.006700167504159547,0.0,0.0008375209380199434,0.0,0.0,0.0,0.0004187604690099717,0.017587939698418813,0.0,0.0012562814070299153,0.0,0.0004187604690099717,0.0004187604690099717,0.0,0.0,0.0,0.0004187604690099717,0.0,0.0,0.0004187604690099717,0.0004187604690099717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
