,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
bg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on,0,0.457910855,0.003205281,0.001681979,0.113311436,0.021516637,0.011646911,0.001872392,0.00244363,0.003316355,0.04711128,0.032211485,0.000380825,0.006727916,0.036162549,0.002284953,0.022103743,0.00683899,0.021389695,0.000476032,0.012202282,0.002142143,0.011075673,0.003030736,0.000729915,0.00069818,0.013281287,0.022468701,0.013757319,0.00014281,0.000444296,0.013313023,0.007124609,0.000714048,0.00104727,0.004601641,0.003935196,0.004379493,0.014741118,0.010266419,0.013947732,0.008219482,0.001142476,0.000650577,0.001063138,0.025435966,0.016089875,0.00055537,3.17E-05,0.000174545,0
has,0,0.003739061,0.772871917,0.067820207,0.002943516,0.001312649,0.001829753,0.084725537,0.001352426,0.010859189,0.000397772,0.000477327,0.016109785,0.003420843,0.001471758,0.000676213,0.001113763,7.96E-05,0.000676213,0.004295943,0,0.000278441,7.96E-05,0.003579952,0.00071599,0.000556881,0.00043755,3.98E-05,0.000159109,0.00071599,0.001113763,0.000994431,0.001789976,0.000477327,0.004892601,3.98E-05,0,3.98E-05,3.98E-05,0.000238663,0.000517104,0,0,0.000119332,0.000318218,0.000278441,0,0.004693715,3.98E-05,0.001670644,0
wearing,0,0.002134207,0.006154457,0.762011118,4.96E-05,0.004318046,9.93E-05,0.003077229,9.93E-05,0.00347429,4.96E-05,0.000297796,0.209499702,0.000496327,0.000248164,0,0.004318046,0,0,0.001389716,0,4.96E-05,0,4.96E-05,0.000198531,0.000893389,0,0,0,4.96E-05,0.000198531,0,0.000694858,0,0,0,0,0,0,0,0,4.96E-05,0,0,0,0,0,4.96E-05,0,4.96E-05,0
of,0,0.137121173,0.002153736,0.000307677,0.722116815,0.003794677,0.005897133,0.010563561,0.00179478,0.000666632,0.001589662,5.13E-05,5.13E-05,0.006717604,0.000512794,0.000717912,0.000205118,0,0.006768884,5.13E-05,0,0.000410235,0.051176863,0.005538178,0.000358956,0.00092303,0.000205118,0.000205118,0.000205118,0,0.000102559,0.000615353,5.13E-05,0.000153838,0.000256397,0.000256397,0.007281678,0,0.008255987,0.00712784,0.00528178,0,0,0.000153838,0.000615353,0.008512384,0.00087175,0.000307677,0,5.13E-05,0
in,0,0.099797944,0.004831767,0.153035228,0.005271018,0.438548713,0.024685935,0.004304665,0.013001845,0.002196258,0.004216815,0.028814899,0.034525169,0.004128964,0.004743916,0.005622419,0.028287798,0.00298691,0.002108407,0.000175701,0.004304665,0.003953264,0.000351401,0.002196258,0.001142054,0.00289906,0.006588773,0.01440745,0.005622419,0.001757006,0.001054204,0.006764473,0.000263551,0.000351401,0.014056048,0.003074761,0.000614952,0.005007467,0.000790653,0.006413072,0.000790653,0.035755073,0.000614952,0.001054204,0.001229904,0.013528947,0.00289906,0.000878503,8.79E-05,0.000263551,0
near,0,0.115634298,0.005680281,0.000135245,0.010954828,0.028807141,0.31065729,0.012036787,0.111982689,0.009737625,0.012713011,0.004463078,0,0.036245605,0.008520422,0.08831485,0.007708953,0.03245875,0.007032729,0.001352448,0.001487693,0.006626995,0.000135245,0.015958886,0.013389235,0.020016229,0.005139302,0.00622126,0.002975385,0.004192589,0.00649175,0.005950771,0.001217203,0.010143359,0.004598323,0.051528266,0.000135245,0.000135245,0.002569651,0.007032729,0.001622938,0.001081958,0.006626995,0.005680281,0.002299161,0.005815526,0.002840141,0.002975385,0.000135245,0.000540979,0
with,0,0.01343785,0.28443449,0.111982083,0.011944756,0.007278835,0.022583053,0.270623367,0.008585293,0.063456514,0.001306458,0.000746547,0.030421799,0.025755879,0.010638298,0.004479283,0.003546099,0.001306458,0.002799552,0.027062337,0,0.001306458,0,0.020343412,0.006718925,0.01343785,0.00055991,0,0.000746547,0.003172826,0.008398656,0.003732736,0.007838746,0.000186637,0.013624487,0.000933184,0,0.000373274,0.000186637,0.000933184,0.000746547,0.000186637,0,0,0.001306458,0.000373274,0.000373274,0.003546099,0.00055991,0.008025383,0
behind,0,0.028301887,0.007898201,0.000219394,0.006143045,0.021061869,0.106845108,0.012724879,0.652259763,0.004826678,0.013163668,0.003729706,0,0.019526108,0.004826678,0.032470382,0.002193945,0.009653357,0.002413339,0.000438789,0.000219394,0.006581834,0,0.007240018,0.003729706,0.018209741,0.002413339,0,0.000658183,0.002193945,0.003729706,0.001096972,0.000877578,0.001316367,0.003071523,0.007459412,0.000219394,0,0.001096972,0.001096972,0.000658183,0.000219394,0.000658183,0.00197455,0.002413339,0.00197455,0.000219394,0.001316367,0.000438789,0.000219394,0
holding,0,0.013528022,0.012239639,0.012239639,0.007086107,0.001073653,0.005582993,0.030706463,0.002576766,0.616276573,0.000429461,0.001717844,0.001717844,0.02490874,0.009662873,0.001288383,0.003435688,0.000429461,0.002147305,0.148808246,0,0.000429461,0.001288383,0.019325746,0.00815976,0.007515568,0.000429461,0,0.000858922,0.015245866,0.003006227,0,0.042087181,0,0.000214731,0.000214731,0,0.000644192,0,0.000214731,0,0,0,0,0,0,0,0.001073653,0.003435688,0,0
