,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
bg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on,0,0.8481617,0.004093873,0.002760985,0.09006522,0.015502769,0.009679313,0.000602974,0.001301154,0.004125609,0.000539503,0.006807255,0,0.001285286,0.009933197,0.000158677,0.000650577,0.000428429,7.93E-05,3.17E-05,0.001872392,0.000253884,0,4.76E-05,3.17E-05,0.000158677,0.000412561,1.59E-05,0.000111074,3.17E-05,1.59E-05,1.59E-05,0.000539503,6.35E-05,9.52E-05,1.59E-05,0,4.76E-05,1.59E-05,1.59E-05,0,0,0,0,0,0,3.17E-05,0,0,0,0
has,0,0.012450279,0.8597852,0.08516309,0.004017502,0.001869531,0.002108194,0.013484487,0.001392204,0.015075577,3.98E-05,7.96E-05,7.96E-05,0.000914877,0.000318218,0.000159109,0,0,0,0.001471758,0,0,0,3.98E-05,0,0,0,0,0,0.000318218,0,0,0.000477327,0,0.000755768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wearing,0,0.006650784,0.007246377,0.98094106,0.000198531,0.001340083,0.000595593,0.000397062,4.96E-05,0.001340083,0,9.93E-05,0,4.96E-05,0.000148898,0,9.93E-05,0,0,0.000794124,0,0,0,0,0,0,0,0,0,4.96E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of,0,0.27547306,0.004871545,0.000358956,0.7004769,0.0017435,0.006409928,0.005589457,0.001179427,0.000974309,5.13E-05,5.13E-05,0,0.001692221,0.000358956,5.13E-05,0,0,0,0,0,0.000153838,0,0.000307677,0,5.13E-05,0,0,0,0,0,0,0,0,5.13E-05,0,0,0,0,5.13E-05,0,0,0,0,5.13E-05,0,0,5.13E-05,0,0,0
in,0,0.2679434,0.007818677,0.1893174,0.004128964,0.4643767,0.0289906,0.001317755,0.010278486,0.002196258,0,0.009751383,0,0.001405605,0.003338312,8.79E-05,0.004392515,0.000263551,0,0,0.001142054,0.000966353,0,0,0,0.000175701,0.000614952,0,8.79E-05,0.000175701,0,0,0,8.79E-05,0.001142054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
near,0,0.27698132,0.01325399,0.000540979,0.007979442,0.030159589,0.48958614,0.011495807,0.104814716,0.010278604,0.002163917,0.00027049,0,0.01325399,0.002840141,0.013118745,0.000135245,0.012577766,0.000405734,0.000135245,0.000135245,0.001081958,0,0.002299161,0.001622938,0.001622938,0.000405734,0,0,0.001081958,0,0,0.00027049,0.000811469,0.00027049,0.00027049,0,0,0,0,0,0,0.000135245,0,0,0,0,0,0,0,0
with,0,0.05543113,0.49048153,0.14688316,0.021463232,0.013251213,0.042366553,0.09518477,0.008958567,0.09107876,0,0,0,0.011571482,0.003732736,0.00055991,0.000186637,0.000186637,0.000186637,0.007278835,0,0.000373274,0,0.001493095,0.000186637,0.00055991,0,0,0,0.001493095,0.000373274,0,0.00410601,0,0.002612915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
behind,0,0.084686264,0.012724879,0.000658183,0.007459412,0.02457218,0.18692409,0.00636244,0.6388767,0.008775779,0.00438789,0.000438789,0,0.005265467,0.00197455,0.003729706,0,0.006143045,0,0,0,0.001755156,0,0.000219394,0.001096972,0.003510312,0.000219394,0,0,0,0,0,0,0,0,0.000219394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holding,0,0.057762507,0.028773889,0.021687781,0.010951256,0.001073653,0.007086107,0.025767662,0.003865149,0.79428816,0,0.000429461,0,0.006441915,0.001073653,0,0,0.000214731,0.000214731,0.032209575,0,0,0,0.000214731,0,0.000214731,0,0,0.000214731,0.004938802,0,0,0.002362036,0,0,0,0,0.000214731,0,0,0,0,0,0,0,0,0,0,0,0,0
