,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
bg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.0,0.46554323162113176,0.0026975135272365247,0.0019199949223271736,0.1100426841846194,0.02086606051950606,0.00940956189206623,0.0012059472239410347,0.0021580108217892197,0.003475032132145876,0.04715888354674678,0.02451563764459077,4.760317989240926e-05,0.0061566779327515975,0.03814601482045062,0.0020628044620044014,0.030116945145264258,0.004617508449563698,0.016169213436788347,0.0009837990511097914,0.014677647133492854,0.003141809872899011,0.006886593357768539,0.0018565240158039612,0.0011266085907870192,0.0006981799717553358,0.012868726297581304,0.021913330477139063,0.009949064597513536,0.00026975135272365246,0.001634375842972718,0.013582773995967443,0.002856190793544556,0.0009996667777405945,0.0009044604179557759,0.004538169816409683,0.0021580108217892197,0.015296488472094177,0.014804588946539278,0.011313689087762601,0.01562971073134104,0.003062471239744996,0.0009520635978481852,0.0006664445184937297,0.001634375842972718,0.02351597086685018,0.024341092651651935,0.0008092540581709574,0.00014280953967722777,0.0002538836260928494,0.00022214817283124321
has,0.0,0.0028639618138413423,0.7899363564038226,0.08178202068413612,0.0023070803500388594,0.000835322195703725,0.001233094669848356,0.06917263325375132,0.0014717581543351344,0.012490055688141412,0.0003579952267301678,0.00023866348448677856,0.002386634844867786,0.0025855210819401013,0.001829753381065302,0.000437549721559094,0.0014319809069206712,7.955449482892618e-05,0.0006762132060458726,0.0040175019888607725,0.0,0.0005568814638024834,0.00015910898965785237,0.0014319809069206712,0.001233094669848356,0.0002784407319012417,0.0002784407319012417,7.955449482892618e-05,0.00011933174224338928,0.000914876690532651,0.0019490851233086915,0.0013922036595062084,0.0014319809069206712,0.0005171042163880202,0.004415274463005403,0.00011933174224338928,7.955449482892618e-05,0.0002784407319012417,7.955449482892618e-05,0.0005966587112169465,0.0005966587112169465,0.0,0.0,0.00015910898965785237,0.0006364359586314095,0.0005966587112169465,0.00015910898965785237,0.0030230708034991952,0.00039777247414463096,0.002386634844867786,0.0
wearing,0.0,0.0013897161008529929,0.0054099662497491515,0.9561743101047467,9.926543577521379e-05,0.0024816358943803444,0.0,0.0019853087155042755,9.926543577521379e-05,0.0035735556879076965,4.963271788760689e-05,0.00019853087155042757,0.018115942028976515,0.00039706174310085514,0.00039706174310085514,0.0,0.004764740917210262,0.0,9.926543577521379e-05,0.0015882469724034206,0.0,4.963271788760689e-05,4.963271788760689e-05,0.0,0.00019853087155042757,0.00039706174310085514,0.0,0.0,4.963271788760689e-05,4.963271788760689e-05,0.0011911852293025654,9.926543577521379e-05,0.00029779630732564136,0.0,0.0,0.0,0.0,0.00014889815366282068,9.926543577521379e-05,0.0,0.0,4.963271788760689e-05,0.0,0.0,9.926543577521379e-05,0.0,0.0,0.0,0.00029779630732564136,9.926543577521379e-05,0.0
of,0.0,0.15963283934149036,0.0016409414901791492,0.0002563971078404921,0.7250397415513434,0.0031793241372221016,0.005025383313673645,0.011640428695958337,0.0019486180195877397,0.0016409414901791492,0.0007691913235214762,0.00010255884313619682,0.0,0.005743295215627022,0.0006666324803852794,0.0007691913235214762,0.0002563971078404921,5.127942156809841e-05,0.006050971745035613,0.0003589559509766889,0.0,0.00046151479411288575,0.02974206450949708,0.0037946771960392827,0.0006666324803852794,0.00046151479411288575,0.0002563971078404921,0.00020511768627239364,0.00020511768627239364,0.00010255884313619682,0.001230706117634362,0.0008204707450895746,0.0,0.000615353058817181,0.0003076765294085905,0.0004102353725447873,0.007538074970510467,0.00020511768627239364,0.009435413568530109,0.007076560176397581,0.0008717501666576729,0.0,0.0,0.0,0.0013845443823386572,0.007179119019533778,0.0011794266960662636,0.0005127942156809842,0.0003589559509766889,0.00010255884313619682,0.00010255884313619682
in,0.0,0.0913643152068072,0.004831766669590765,0.1858033910215358,0.004304664851089954,0.4502328033027758,0.019590617587613466,0.0035140121233387376,0.010454186066932747,0.002459808486337117,0.006676623034343601,0.026267240621957066,0.0020205569709197744,0.00395326363875608,0.004831766669590765,0.00456821576034036,0.04515505578490279,0.0035140121233387376,0.0019327066678363058,0.0005271018185008107,0.008872880611430314,0.004304664851089954,0.0007028024246677477,0.0014056048493354953,0.0014934551524189638,0.0012299042431685584,0.006588772731260134,0.014671000614939231,0.005007467275757702,0.0013177545462520269,0.0023719581832536483,0.005798120003508918,0.00026355090925040536,0.0009663533339181529,0.013704647281021078,0.002459808486337117,0.0009663533339181529,0.007642976368261755,0.0023719581832536483,0.006149521215842792,0.0005271018185008107,0.016603707282775538,0.0008785030308346844,0.0014934551524189638,0.0014934551524189638,0.014231749099521889,0.0015813054555024323,0.0006149521215842792,0.0007906527277512161,0.0004392515154173422,0.0010542036370016215
near,0.0,0.11130646470095847,0.0032458750338068085,0.0001352447930752837,0.009061401136044006,0.03029483364886355,0.304165539626313,0.011090073032173263,0.11374087097631358,0.009331890722194574,0.011495807411399113,0.00513930213686078,0.0,0.036245604544176024,0.00879091154989344,0.07330267784680376,0.008385177170667588,0.03178252637269167,0.006762239653764184,0.002163916689204539,0.002704895861505674,0.007844197998366454,0.00040573437922585107,0.01284825534215195,0.03002434406271298,0.012172031376775532,0.008385177170667588,0.006356505274538333,0.0022991614822798225,0.005004057343785496,0.01839329185823858,0.006086015688387766,0.0006762239653764184,0.010684338652947411,0.004463078171484362,0.044901271300994174,0.0005409791723011348,0.00256965106843039,0.0036516094130326594,0.009467135515269858,0.001352447930752837,0.0005409791723011348,0.006356505274538333,0.006762239653764184,0.002163916689204539,0.005950770895312482,0.0037868542061079437,0.003381119826882092,0.0018934271030539719,0.0006762239653764184,0.0012172031376775532
with,0.0,0.010265024262765463,0.3284807764084948,0.13979096677838784,0.009331840238877693,0.005225830533771509,0.018103770063422727,0.22788353863339328,0.007465472191102155,0.07614781634924198,0.0011198208286653233,0.0007465472191102156,0.0033594624859959697,0.026875699887967758,0.011011571481875678,0.003919372900328631,0.004292646509883739,0.0013064576334428772,0.0011198208286653233,0.02892870474052085,0.0,0.0018663680477755387,0.0001866368047775539,0.009891750653210355,0.00914520343410014,0.007092198581547048,0.0003732736095551078,0.0,0.0011198208286653233,0.0033594624859959697,0.01679731242997985,0.0048525569242164005,0.006159014557659278,0.0009331840238877694,0.013251213139206323,0.0003732736095551078,0.0,0.0009331840238877694,0.0001866368047775539,0.0027995520716633084,0.0013064576334428772,0.0,0.0,0.0001866368047775539,0.0018663680477755387,0.0011198208286653233,0.0016797312429979849,0.0031728256812184157,0.0009331840238877694,0.0046659201194388465,0.0003732736095551078
behind,0.0,0.019306713470778177,0.004168494953918016,0.0,0.005704256252729916,0.02172005265462545,0.10465116279046807,0.007459412022800659,0.6671785870981414,0.006581834137765288,0.008117595436577188,0.003071522597623801,0.0,0.013602457218048264,0.005046072838953387,0.026107942079802313,0.002632733655106115,0.010750329091683301,0.0013163668275530576,0.0006581834137765288,0.00021939447125884294,0.007459412022800659,0.0,0.0037297060114003296,0.007678806494059502,0.019087318999519334,0.002413339183847272,0.0006581834137765288,0.0006581834137765288,0.002632733655106115,0.008117595436577188,0.002632733655106115,0.0008775778850353717,0.0010969723562942147,0.003290917068882644,0.006362439666506446,0.0010969723562942147,0.0004387889425176859,0.0037297060114003296,0.0021939447125884294,0.0006581834137765288,0.0,0.0006581834137765288,0.002413339183847272,0.003071522597623801,0.004607283896435702,0.00021939447125884294,0.002413339183847272,0.0013163668275530576,0.0006581834137765288,0.0015357612988119004
holding,0.0,0.009662873094245947,0.012883830792327928,0.014172213871560722,0.006227184882958498,0.0017178441056437239,0.0027914966716710513,0.02383508696580667,0.002147305132054655,0.6648056688841212,0.0006441915396163964,0.0017178441056437239,0.0,0.02039939875451922,0.010736525660273272,0.0012883830792327928,0.0057977238565475675,0.00021473051320546548,0.0019325746188491892,0.1348507622930323,0.0,0.0015031135924382583,0.0008589220528218619,0.007945028988602222,0.012239639252711532,0.0034356882112874477,0.0,0.0,0.0008589220528218619,0.016319519003615376,0.00429461026410931,0.0,0.03263903800723075,0.00021473051320546548,0.0,0.0,0.00021473051320546548,0.0008589220528218619,0.0,0.00021473051320546548,0.00021473051320546548,0.0,0.0,0.0,0.00021473051320546548,0.0,0.00042946102641093096,0.0,0.0010736525660273275,0.00021473051320546548,0.00042946102641093096
