,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
bg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.0,0.46327414671292694,0.0027768521603905405,0.00236429126798966,0.11005855191125022,0.020342425540689556,0.009964932324144339,0.0012059472239410347,0.0019675981022195827,0.003824122118023544,0.04825375668427219,0.024071341298928284,6.347090652321235e-05,0.006140810206120795,0.03859031116611311,0.0022373494549432354,0.030402564224618716,0.004680979356086911,0.01675631932212806,0.0009837990511097914,0.014296821694353581,0.0033798257723610574,0.006569238825152478,0.0018089208359115519,0.0011583440440486254,0.0005077672521856988,0.012567239491596044,0.022135478649970307,0.010202948223606385,0.00028561907935445555,0.0013646244902490656,0.01356690626933664,0.002602307167451706,0.0011266085907870192,0.0009520635978481852,0.004569905269671289,0.0015391694831878994,0.01521714983894016,0.014756985766646871,0.011170879548085372,0.01469351486012366,0.0035702384919306953,0.0010631376842638069,0.000714047698386139,0.0013804922168798685,0.024055473572297485,0.024055473572297485,0.0007616508782785482,0.00019041271956963705,0.0015391694831878994,0.0002380158994620463
has,0.0,0.0027446300715979533,0.7871121718373957,0.08186157517896504,0.0021877486077954704,0.0007955449482892619,0.0013524264120917452,0.06829753381063314,0.0015513126491640606,0.013166268894187285,0.00039777247414463096,0.00023866348448677856,0.0022673031026243964,0.0025855210819401013,0.001829753381065302,0.0005171042163880202,0.0013126491646772822,7.955449482892618e-05,0.00039777247414463096,0.003739061256959531,0.0,0.0005568814638024834,0.00015910898965785237,0.0011535401750194297,0.0009944311853615773,0.0003579952267301678,0.0002784407319012417,0.00015910898965785237,0.00015910898965785237,0.000875099443118188,0.001750198886236376,0.0014717581543351344,0.0013524264120917452,0.0006762132060458726,0.004415274463005403,0.00011933174224338928,7.955449482892618e-05,0.0002784407319012417,3.977724741446309e-05,0.0005966587112169465,0.0006364359586314095,0.0,0.0,7.955449482892618e-05,0.0003579952267301678,0.0005966587112169465,3.977724741446309e-05,0.0032219570405715107,0.00015910898965785237,0.007000795544945504,0.0
wearing,0.0,0.0011911852293025654,0.005658129839187186,0.9572165971803865,4.963271788760689e-05,0.0024816358943803444,0.0,0.0019356759976166687,9.926543577521379e-05,0.0032757593805820546,0.0,0.00019853087155042757,0.017321818542774804,0.0004963271788760689,0.0003474290252132482,0.0,0.004764740917210262,0.0,9.926543577521379e-05,0.0014889815366282066,0.0,0.00019853087155042757,4.963271788760689e-05,0.0,0.00029779630732564136,0.0003474290252132482,0.0,0.0,4.963271788760689e-05,4.963271788760689e-05,0.0010919197935273517,0.00014889815366282068,0.00014889815366282068,0.0,0.0,0.0,4.963271788760689e-05,0.00014889815366282068,4.963271788760689e-05,0.0,0.0,4.963271788760689e-05,0.0,0.0,4.963271788760689e-05,0.0,0.0,0.0,0.00024816358943803444,0.00029779630732564136,9.926543577521379e-05
of,0.0,0.1622993692630315,0.0015383826470429525,0.0002563971078404921,0.727398594943476,0.0029742064509497078,0.005025383313673645,0.011486590431254044,0.002358853392132527,0.0016409414901791492,0.0007179119019533778,5.127942156809841e-05,0.0,0.005999692323467514,0.0007179119019533778,0.0009230295882257715,0.00020511768627239364,5.127942156809841e-05,0.005538177529354629,0.0003589559509766889,0.0,0.0006666324803852794,0.026049946156593996,0.0037946771960392827,0.00046151479411288575,0.0005640736372490825,0.00015383826470429524,0.00020511768627239364,0.0003589559509766889,0.00015383826470429524,0.0007179119019533778,0.0007691913235214762,0.0,0.0007691913235214762,0.0004102353725447873,0.00046151479411288575,0.005333059843082235,0.0004102353725447873,0.009281575303825814,0.007332957284238073,0.0008717501666576729,0.0,0.0,0.0,0.0012819855392024605,0.007538074970510467,0.001128147274498165,0.0004102353725447873,0.0003076765294085905,0.0008204707450895746,0.00020511768627239364
in,0.0,0.09215496793455841,0.004392515154173423,0.18633049284003658,0.00395326363875608,0.44865149784727343,0.019590617587613466,0.0035140121233387376,0.009927084248431936,0.0028112096986709907,0.00623737151892626,0.026530791531207472,0.0014934551524189638,0.004128964244923017,0.005007467275757702,0.004304664851089954,0.04752701396815644,0.0033383115171718007,0.002899060001754459,0.0004392515154173422,0.008345778792929503,0.004919616972674234,0.0007906527277512161,0.0013177545462520269,0.0015813054555024323,0.0014934551524189638,0.006940173943594008,0.014846701221106168,0.005007467275757702,0.0014934551524189638,0.0021962575770867114,0.005622419397341981,0.00017570060616693692,0.0007906527277512161,0.013528946674854141,0.0023719581832536483,0.0008785030308346844,0.00799437758059563,0.002459808486337117,0.006149521215842792,0.00035140121233387384,0.014846701221106168,0.0007906527277512161,0.0014056048493354953,0.0014056048493354953,0.014231749099521889,0.0014934551524189638,0.0004392515154173422,0.0007906527277512161,0.0007906527277512161,0.0013177545462520269
near,0.0,0.11211793345941018,0.003381119826882092,0.0001352447930752837,0.009467135515269858,0.028536651338884854,0.3025426021094096,0.010413849066796843,0.11631052204474397,0.009331890722194574,0.00987286989449571,0.005274546929936064,0.0,0.037327562888778296,0.009061401136044006,0.07479037057063188,0.008520421963742872,0.03245875033806808,0.005815526102237198,0.0017581823099786882,0.002163916689204539,0.00811468758451702,0.0002704895861505674,0.012577765756001382,0.02786042737350844,0.012307276169850813,0.008249932377592304,0.006626994860688901,0.0028401406545809573,0.003922098999183227,0.01798755747901273,0.005950770895312482,0.0006762239653764184,0.010143359480646274,0.004463078171484362,0.043548823370241345,0.0005409791723011348,0.0031106302407315246,0.003922098999183227,0.010684338652947411,0.0012172031376775532,0.0005409791723011348,0.0075737084122158875,0.0055450365160866315,0.0022991614822798225,0.005950770895312482,0.003922098999183227,0.0035163646199573764,0.0024344062753551064,0.0018934271030539719,0.002028671896129255
with,0.0,0.009518477043655247,0.3210153042173927,0.13904441955927763,0.007652108995879708,0.005412467338549063,0.019410227696865602,0.2252706233665075,0.008585293019767478,0.07708100037312975,0.0013064576334428772,0.0009331840238877694,0.0026129152668857543,0.026875699887967758,0.011198208286653234,0.0031728256812184157,0.004106009705106185,0.0013064576334428772,0.0009331840238877694,0.027808883911855528,0.0,0.0014930944382204312,0.0001866368047775539,0.01007838745798791,0.009518477043655247,0.0069055617767694935,0.0007465472191102156,0.0,0.0009331840238877694,0.0033594624859959697,0.014744307577426756,0.005039193728993955,0.006159014557659278,0.0013064576334428772,0.013997760358316543,0.0001866368047775539,0.0,0.0013064576334428772,0.0001866368047775539,0.0031728256812184157,0.0011198208286653233,0.0,0.0,0.0,0.0013064576334428772,0.0011198208286653233,0.0013064576334428772,0.003919372900328631,0.0007465472191102156,0.017170586039534957,0.0007465472191102156
behind,0.0,0.019964896884554707,0.004607283896435702,0.0,0.005704256252729916,0.019964896884554707,0.10465116279046807,0.008336989907836032,0.6649846423855529,0.007898200965318345,0.009433962264130246,0.003510311540141487,0.0,0.014480035103083634,0.005046072838953387,0.02698551996483768,0.0019745502413295864,0.011189118034200989,0.0021939447125884294,0.0006581834137765288,0.0,0.007459412022800659,0.0,0.004168494953918016,0.007459412022800659,0.019087318999519334,0.002632733655106115,0.0008775778850353717,0.0008775778850353717,0.0021939447125884294,0.006143045195247602,0.0021939447125884294,0.0006581834137765288,0.0008775778850353717,0.003071522597623801,0.007020623080282974,0.0008775778850353717,0.0004387889425176859,0.003510311540141487,0.0019745502413295864,0.0004387889425176859,0.00021939447125884294,0.0008775778850353717,0.0019745502413295864,0.003071522597623801,0.005046072838953387,0.00021939447125884294,0.0017551557700707435,0.0004387889425176859,0.0006581834137765288,0.0021939447125884294
holding,0.0,0.009448142581040481,0.012024908739506067,0.014601674897971652,0.006227184882958498,0.0017178441056437239,0.0034356882112874477,0.024264547992217597,0.0025767661584655856,0.6725359673595179,0.00042946102641093096,0.0015031135924382583,0.0,0.021473051320546544,0.010951256173478741,0.0010736525660273275,0.004938801803725706,0.00021473051320546548,0.0025767661584655856,0.12905303843648475,0.0,0.0008589220528218619,0.0006441915396163964,0.006441915396163964,0.011595447713095135,0.003220957698081982,0.0,0.0,0.0008589220528218619,0.01567532746399898,0.0038651492376983784,0.0,0.0304917328751761,0.00021473051320546548,0.0,0.0,0.00021473051320546548,0.0008589220528218619,0.0,0.0,0.0006441915396163964,0.0,0.0,0.0,0.00021473051320546548,0.0,0.00042946102641093096,0.0,0.002147305132054655,0.0017178441056437239,0.0008589220528218619
