,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
bg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.0,0.4648133161961148,0.002792719887021343,0.002221481728312432,0.11036003871723547,0.020342425540689556,0.009774519604574702,0.0010790054108946099,0.0021580108217892197,0.0033798257723610574,0.05149077291695601,0.023452499960326962,4.760317989240926e-05,0.00642642928547525,0.03711461258944842,0.002110407641896811,0.03152917281540574,0.005283952968057428,0.014154012154676354,0.0009679313244789884,0.011742117706794284,0.003046603513114193,0.006489900191998463,0.0018723917424347642,0.001094873137525413,0.0006347090652321235,0.013551038542705835,0.021960933657031473,0.014074673521522339,0.0002538836260928494,0.0014439631234030809,0.013027403563889334,0.002840323066913753,0.0009996667777405945,0.0009520635978481852,0.0046651116294561075,0.0016819790228651272,0.009679313244789883,0.014106408974783945,0.011313689087762601,0.01716888021452894,0.0049824661620721696,0.0009044604179557759,0.0007616508782785482,0.001459830850033884,0.02281779089509484,0.024071341298928284,0.000714047698386139,0.00015867726630803088,0.0018089208359115519,0.00022214817283124321
has,0.0,0.0025855210819401013,0.7878679395382704,0.08194112967379398,0.0022275258552099334,0.000835322195703725,0.0013922036595062084,0.06762132060458725,0.001193317422433893,0.013126491646772822,0.0007557677008747988,0.00023866348448677856,0.0021877486077954704,0.002545743834525638,0.00167064439140745,0.0005171042163880202,0.0013524264120917452,7.955449482892618e-05,0.0005568814638024834,0.003977724741446309,0.0,0.00047732696897355713,0.00015910898965785237,0.001272871917262819,0.001193317422433893,0.00039777247414463096,0.00023866348448677856,0.0,0.00019888623707231548,0.000875099443118188,0.0019093078758942285,0.0015115354017495976,0.001233094669848356,0.0005568814638024834,0.004693715194906645,0.00011933174224338928,0.00011933174224338928,0.00019888623707231548,0.00011933174224338928,0.0005966587112169465,0.0007955449482892619,0.0,3.977724741446309e-05,0.00015910898965785237,0.00031821797931570474,0.0005171042163880202,3.977724741446309e-05,0.0027446300715979533,0.00011933174224338928,0.006642800318215337,7.955449482892618e-05
wearing,0.0,0.0014393488187405999,0.005161802660311117,0.9571669644624989,9.926543577521379e-05,0.0021342068691670964,0.0,0.001886043279729062,9.926543577521379e-05,0.0032757593805820546,0.0,0.00019853087155042757,0.017818145721650875,0.00039706174310085514,0.00029779630732564136,0.0,0.004715108199322655,0.0,9.926543577521379e-05,0.0017867778439538482,0.0,0.00014889815366282068,4.963271788760689e-05,0.0,0.00029779630732564136,0.00044669446098846206,0.0,0.0,0.00014889815366282068,4.963271788760689e-05,0.0012904506650777792,9.926543577521379e-05,9.926543577521379e-05,0.0,0.0,0.0,4.963271788760689e-05,9.926543577521379e-05,4.963271788760689e-05,0.0,0.0,4.963271788760689e-05,0.0,0.0,4.963271788760689e-05,0.0,0.0,0.0,0.00019853087155042757,0.00029779630732564136,0.0
of,0.0,0.15963283934149036,0.0015383826470429525,0.0002563971078404921,0.7302702425512895,0.002820368186245413,0.00517922157837794,0.011742987539094536,0.0021537357058601333,0.0016922209117472477,0.0008717501666576729,5.127942156809841e-05,0.0,0.005743295215627022,0.0006666324803852794,0.0007691913235214762,0.00020511768627239364,5.127942156809841e-05,0.005589456950922727,0.0003589559509766889,0.0,0.0005127942156809842,0.026614019793843077,0.003589559509766889,0.0005127942156809842,0.00046151479411288575,0.00015383826470429524,0.00020511768627239364,0.00020511768627239364,0.00010255884313619682,0.0007691913235214762,0.0008204707450895746,0.0,0.0008204707450895746,0.0003589559509766889,0.0004102353725447873,0.005333059843082235,0.0003076765294085905,0.009179016460689617,0.006922721911693286,0.0010255884313619683,5.127942156809841e-05,0.0,5.127942156809841e-05,0.0016922209117472477,0.006922721911693286,0.001128147274498165,0.0005127942156809842,0.0003076765294085905,0.0012819855392024605,0.00015383826470429524
in,0.0,0.09039796187288904,0.004304664851089954,0.18633049284003658,0.004041113941839549,0.4471580426948545,0.019502767284529997,0.0036897127295056746,0.011332689097767433,0.002459808486337117,0.006764473337427071,0.026970043046624818,0.0016691557585859003,0.004392515154173423,0.004831766669590765,0.004128964244923017,0.04726346305890603,0.0036897127295056746,0.0023719581832536483,0.0004392515154173422,0.0054467187911750444,0.004304664851089954,0.0007906527277512161,0.0014056048493354953,0.0017570060616693688,0.0013177545462520269,0.007379425459011349,0.014846701221106168,0.008170078186762566,0.0017570060616693688,0.0021962575770867114,0.005885970306592386,0.00026355090925040536,0.00114205394008509,0.013441096371770673,0.00228410788017018,0.0013177545462520269,0.004656066063423828,0.0018448563647528373,0.006588772731260134,0.0006149521215842792,0.01818501273827797,0.0006149521215842792,0.0016691557585859003,0.0016691557585859003,0.013792497584104547,0.0014934551524189638,0.0004392515154173422,0.0004392515154173422,0.0012299042431685584,0.0013177545462520269
near,0.0,0.11292940221786188,0.003381119826882092,0.0001352447930752837,0.008926156342968724,0.028942385718110707,0.3026778469024849,0.010549093859872127,0.11847443873394851,0.00919664592911929,0.011631052204474397,0.005274546929936064,0.0,0.037327562888778296,0.00879091154989344,0.07167974032990035,0.008249932377592304,0.03245875033806808,0.005815526102237198,0.002028671896129255,0.0018934271030539719,0.008655666756818156,0.00040573437922585107,0.013524479307528368,0.02813091695965901,0.012036786583700247,0.00879091154989344,0.006221260481463049,0.0028401406545809573,0.004463078171484362,0.017176088720561027,0.0056802813091619145,0.0006762239653764184,0.00987286989449571,0.004463078171484362,0.043413578577166066,0.00040573437922585107,0.0022991614822798225,0.0036516094130326594,0.010413849066796843,0.0012172031376775532,0.0008114687584517021,0.007979442791441737,0.006491750067613617,0.002028671896129255,0.006356505274538333,0.00405734379225851,0.00256965106843039,0.0014876927238281206,0.002704895861505674,0.0008114687584517021
with,0.0,0.009518477043655247,0.3251213139224988,0.1388577827545001,0.007465472191102155,0.005599104143326617,0.01773049645386762,0.21985815602795847,0.008958566629322587,0.07558790593490931,0.0014930944382204312,0.0005599104143326617,0.0037327360955510774,0.028182157521410636,0.011198208286653234,0.0027995520716633084,0.004292646509883739,0.0013064576334428772,0.0013064576334428772,0.02986188876440862,0.0,0.0016797312429979849,0.0001866368047775539,0.010265024262765463,0.009518477043655247,0.0069055617767694935,0.0005599104143326617,0.0,0.0014930944382204312,0.0031728256812184157,0.01735722284431251,0.004479283314661293,0.00578574094810417,0.0011198208286653233,0.012877939529651217,0.0003732736095551078,0.0,0.0005599104143326617,0.0001866368047775539,0.0033594624859959697,0.0013064576334428772,0.0,0.0,0.0,0.0016797312429979849,0.0013064576334428772,0.0013064576334428772,0.0029861888764408625,0.0007465472191102156,0.01679731242997985,0.0005599104143326617
behind,0.0,0.019306713470778177,0.003949100482659173,0.0,0.005704256252729916,0.020623080298331237,0.10706450197431536,0.009653356735389088,0.6645458534430353,0.007678806494059502,0.009653356735389088,0.002632733655106115,0.0,0.013602457218048264,0.005046072838953387,0.027204914436096527,0.002413339183847272,0.011189118034200989,0.0021939447125884294,0.0006581834137765288,0.0,0.007678806494059502,0.0,0.0037297060114003296,0.007240017551541817,0.017770952171966278,0.002632733655106115,0.0008775778850353717,0.0004387889425176859,0.002413339183847272,0.005484861781471073,0.0017551557700707435,0.0006581834137765288,0.0008775778850353717,0.003071522597623801,0.0059236507239887595,0.0010969723562942147,0.0,0.003071522597623801,0.0019745502413295864,0.00021939447125884294,0.00021939447125884294,0.0013163668275530576,0.002632733655106115,0.003071522597623801,0.006143045195247602,0.00021939447125884294,0.0021939447125884294,0.0006581834137765288,0.0015357612988119004,0.0019745502413295864
holding,0.0,0.009877603607451413,0.01138071719988967,0.014816405411177118,0.00665664590936943,0.0012883830792327928,0.0030062271848765166,0.02533820055824493,0.002147305132054655,0.6598668670803954,0.0008589220528218619,0.0019325746188491892,0.0,0.020828859780930152,0.009877603607451413,0.0010736525660273275,0.0047240712905202405,0.00021473051320546548,0.0025767661584655856,0.14193686922881268,0.0,0.0006441915396163964,0.0006441915396163964,0.00665664590936943,0.011595447713095135,0.003220957698081982,0.0,0.0,0.0012883830792327928,0.015460596950793513,0.0027914966716710513,0.0,0.03220957698081982,0.00021473051320546548,0.0,0.0,0.00021473051320546548,0.00042946102641093096,0.0,0.00021473051320546548,0.00042946102641093096,0.0,0.0,0.00021473051320546548,0.00021473051320546548,0.0,0.00042946102641093096,0.0,0.002147305132054655,0.0019325746188491892,0.0006441915396163964
